"Comment","Designator","Footprint","LCSC Part #"
"12p","C114,C115","C_0402_1005Metric","C1547"
"20p","C107,C113","C_0402_1005Metric","C1554"
"4n7","C401","C_0402_1005Metric","C1538"
"100n","C101,C102,C103,C104,C105,C111,C112,C116,C201,C202,C203,C204,C205,C206,C207,C208,C303,C304","C_0402_1005Metric","C307331"
"1µ","C301,C302","C_0603_1608Metric","C15849 C52923"
"10µ","C108,C109,C110","C_0805_2012Metric","C15850"
"1N4148WS","D101","D_SOD-323","C2128"
"LED","D102,D103,D104,D105,D106,D301","LED_0603_1608Metric","C2286"
"RI","D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D401,D402","LED_Kingbright_AAA3528ESGCT","C601701"
"Ferrite","FB101,FB102,FB201,FB202,FB301,FB401","L_0805_2012Metric","C1015 C1002"
"USB","J102,J301","USB_C_Receptacle_G-Switch_GT-USB-7010ASV","C2988369"
"0","R213,R214,R215,R216","R_0402_1005Metric","C17168"
"22","R102","R_1206_3216Metric","C17958"
"60","R406,R408","R_1206_3216Metric","C57572"
"100","R405,R407","R_0402_1005Metric","C25076"
"1k","R101,R103,R107,R108,R109,R110,R201,R202,R203,R204,R205,R206,R207,R208,R209,R210,R211,R212,R217,R218,R219,R220,R221,R222,R223,R224,R225,R226,R227,R228,R229,R230,R231,R232,R301,R401,R402,R403,R404","R_0402_1005Metric","C11702"
"5k1","R105,R106,R111,R112,R302,R303","R_0402_1005Metric","C25905"
"1M","R104","R_0402_1005Metric","C26083"
"ADM213","U201","SSOP-28_5.3x10.2mm_P0.65mm","C415725"
"AMS1117-3.3","U102","SOT-223-3_TabPin2","C6186"
"ATECC608B-MAVDA-S","U104","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm","C17350254 C17561150"
"CH340N","U302","JEITA_SOIC-8_3.9x4.9mm_P1.27mm","C2977777 C5446"
"M24C64-RMN","U101","SOIC-8_3.9x4.9mm_P1.27mm","C79988"
"SP330","U202","TSSOP-24_4.4x7.8mm_P0.65mm","C916084"
"STM32G431RBTx","U103","LQFP-64_10x10mm_P0.5mm","C431633"
"TJA1042T","U401","SOIC-8_3.9x4.9mm_P1.27mm","C53670"
"USBLC6-2SC6","U105,U303","SOT-23-6","C2827654 C2687116"
"XC6206P332MR","U301","SOT-23-3","C5446 C2977777"
"32k","Y102","Crystal_SMD_3215-2Pin_3.2x1.5mm","C32346"
"8MHz","Y101","Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
